GeneID,Term,Type,Description
LOC101256641,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101256649,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101256654,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101256813,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101257033,sly00010,KEGG,Glycolysis / Gluconeogenesis
ADH11A4a,sly00260,KEGG,Glycine
LOC101257583,sly00270,KEGG,Cysteine and methionine metabolism
LOC101257775,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101257857,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101257875,sly00630,KEGG,Glyoxylate and dicarboxylate metabolism
LOC101257879,sly00360,KEGG,Phenylalanine metabolism
LOC101258079,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101258131,sly00620,KEGG,Pyruvate metabolism
GAPC2,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101258424,sly00460,KEGG,Cyanoamino acid metabolism
LOC101258470,sly00030,KEGG,Pentose phosphate pathway
LOC101258494,sly00030,KEGG,Pentose phosphate pathway
mMDH2,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101258551,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101258615,sly00260,KEGG,Glycine
alpha-kGDH,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101258741,sly00280,KEGG,Valine
LOC101258932,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101259276,sly00030,KEGG,Pentose phosphate pathway
LOC101259333,sly00380,KEGG,Tryptophan metabolism
LOC101259549,sly00061,KEGG,Fatty acid biosynthesis
LOC101259587,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101259725,sly00260,KEGG,Glycine
LOC101259749,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101259840,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101259973,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101260070,sly00260,KEGG,Glycine
LOC101260072,sly00220,KEGG,Arginine biosynthesis
LOC101260137,sly00030,KEGG,Pentose phosphate pathway
LOC101260239,sly00220,KEGG,Arginine biosynthesis
ppc1,sly00620,KEGG,Pyruvate metabolism
LOC101260331,sly01100,KEGG,Metabolic pathways
LOC101260332,sly00010,KEGG,Glycolysis / Gluconeogenesis
ACAT1,sly00071,KEGG,Fatty acid degradation
LOC101260852,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101260902,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101261160,sly00010,KEGG,Glycolysis / Gluconeogenesis
PEPC4,sly00620,KEGG,Pyruvate metabolism
LOC101261413,sly00670,KEGG,One carbon pool by folate
LOC101262009,sly00030,KEGG,Pentose phosphate pathway
LOC101262183,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101262229,sly00030,KEGG,Pentose phosphate pathway
LOC101262427,sly00010,KEGG,Glycolysis / Gluconeogenesis
FBA8,sly00010,KEGG,Glycolysis / Gluconeogenesis
GPI,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101262700,sly00010,KEGG,Glycolysis / Gluconeogenesis
ALDH11A3a,sly00010,KEGG,Glycolysis / Gluconeogenesis
ACAT3,sly00071,KEGG,Fatty acid degradation
LOC101262942,sly00030,KEGG,Pentose phosphate pathway
LOC101263001,sly00030,KEGG,Pentose phosphate pathway
LOC101263138,sly00260,KEGG,Glycine
LOC101263236,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101263711,sly00030,KEGG,Pentose phosphate pathway
LOC101263770,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101263879,sly00280,KEGG,Valine
LOC101263993,sly00620,KEGG,Pyruvate metabolism
LOC101264004,sly00710,KEGG,Carbon fixation by Calvin cycle
LOC101264109,sly00030,KEGG,Pentose phosphate pathway
LOC101264112,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101264118,sly00030,KEGG,Pentose phosphate pathway
LOC101264255,sly00030,KEGG,Pentose phosphate pathway
LOC101264273,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101264434,sly00260,KEGG,Glycine
LOC101264442,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101264480,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101264818,sly00260,KEGG,Glycine
LOC101264821,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101264854,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101264873,sly00220,KEGG,Arginine biosynthesis
LOC101265096,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101265227,sly00071,KEGG,Fatty acid degradation
LOC101265236,sly00220,KEGG,Arginine biosynthesis
LOC101265278,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101265599,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101265671,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101265687,sly00280,KEGG,Valine
LOC101265715,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101265735,sly00030,KEGG,Pentose phosphate pathway
LOC101265771,sly00280,KEGG,Valine
LOC101265817,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101265950,sly00670,KEGG,One carbon pool by folate
FBA7,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101266629,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101266704,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101266713,sly00710,KEGG,Carbon fixation by Calvin cycle
LOC101266731,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101266787,sly00030,KEGG,Pentose phosphate pathway
LOC101266918,sly00260,KEGG,Glycine
LOC101266998,sly00270,KEGG,Cysteine and methionine metabolism
LOC101267103,sly00620,KEGG,Pyruvate metabolism
LOC101267301,sly00260,KEGG,Glycine
LOC101267346,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101267392,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101267395,sly00620,KEGG,Pyruvate metabolism
LOC101267525,sly00280,KEGG,Valine
ppc2,sly00620,KEGG,Pyruvate metabolism
LOC101267921,sly00061,KEGG,Fatty acid biosynthesis
LOC101268121,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101268205,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101268243,sly00010,KEGG,Glycolysis / Gluconeogenesis
RBCS4,sly00630,KEGG,Glyoxylate and dicarboxylate metabolism
LOC101268590,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101268602,sly00020,KEGG,Citrate cycle (TCA cycle)
ALDH6B2,sly00280,KEGG,Valine
LOC101268752,sly00010,KEGG,Glycolysis / Gluconeogenesis
RBCS3,sly00630,KEGG,Glyoxylate and dicarboxylate metabolism
LOC138337104,sly00280,KEGG,Valine
LOC138337235,sly00280,KEGG,Valine
LOC138337267,sly00280,KEGG,Valine
LOC138337537,sly00280,KEGG,Valine
LOC138341862,sly00630,KEGG,Glyoxylate and dicarboxylate metabolism
sdh4,sly00020,KEGG,Citrate cycle (TCA cycle)
sdh3,sly00020,KEGG,Citrate cycle (TCA cycle)
accD,sly00061,KEGG,Fatty acid biosynthesis
rbcL,sly00630,KEGG,Glyoxylate and dicarboxylate metabolism
ME2,sly00620,KEGG,Pyruvate metabolism
CAT2,sly00380,KEGG,Tryptophan metabolism
TAL,sly00030,KEGG,Pentose phosphate pathway
Hxk2,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC543639,sly00010,KEGG,Glycolysis / Gluconeogenesis
hxk1,sly00010,KEGG,Glycolysis / Gluconeogenesis
mdh,sly00620,KEGG,Pyruvate metabolism
LOC543811,sly00030,KEGG,Pentose phosphate pathway
LOC543812,sly00010,KEGG,Glycolysis / Gluconeogenesis
SCOA,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC543863,sly00020,KEGG,Citrate cycle (TCA cycle)
BCCP1,sly00061,KEGG,Fatty acid biosynthesis
LOC543943,sly00020,KEGG,Citrate cycle (TCA cycle)
GPI1,sly00010,KEGG,Glycolysis / Gluconeogenesis
rbcS1,sly00630,KEGG,Glyoxylate and dicarboxylate metabolism
LOC543974,sly00630,KEGG,Glyoxylate and dicarboxylate metabolism
TD2,sly00260,KEGG,Glycine
cat1,sly00380,KEGG,Tryptophan metabolism
gdh1,sly00220,KEGG,Arginine biosynthesis
PGH1,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC544106,sly00630,KEGG,Glyoxylate and dicarboxylate metabolism
ME1,sly00620,KEGG,Pyruvate metabolism
LOC544237,sly00010,KEGG,Glycolysis / Gluconeogenesis
fdh,sly00630,KEGG,Glyoxylate and dicarboxylate metabolism
LOC544276,sly00630,KEGG,Glyoxylate and dicarboxylate metabolism
Acx1B,sly00071,KEGG,Fatty acid degradation
HXK3,sly00010,KEGG,Glycolysis / Gluconeogenesis
HXK4,sly00010,KEGG,Glycolysis / Gluconeogenesis
mMDH1,sly00020,KEGG,Citrate cycle (TCA cycle)
gMDH,sly00020,KEGG,Citrate cycle (TCA cycle)
chMDH,sly00620,KEGG,Pyruvate metabolism
cMDH,sly00020,KEGG,Citrate cycle (TCA cycle)
Acx1A,sly00071,KEGG,Fatty acid degradation
LOC100301981,sly00220,KEGG,Arginine biosynthesis
LOC101055519,sly00250,KEGG,Alanine
LOC101244007,sly00280,KEGG,Valine
LOC101244012,sly00220,KEGG,Arginine biosynthesis
LOC101244094,sly00220,KEGG,Arginine biosynthesis
LOC101244498,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101244614,sly00290,KEGG,Valine
LOC101245066,sly00290,KEGG,Valine
LOC101245293,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101245444,sly00010,KEGG,Glycolysis / Gluconeogenesis
NAOAT,sly00220,KEGG,Arginine biosynthesis
LOC101245812,sly00270,KEGG,Cysteine and methionine metabolism
LOC101246035,sly00220,KEGG,Arginine biosynthesis
LOC101246168,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101246328,sly00220,KEGG,Arginine biosynthesis
LOC101246429,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101246460,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101246533,sly00290,KEGG,Valine
LOC101247011,sly00250,KEGG,Alanine
LOC101247891,sly00290,KEGG,Valine
LOC101247914,sly00290,KEGG,Valine
LOC101248181,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101248259,sly00220,KEGG,Arginine biosynthesis
LOC101248445,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101248455,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101249011,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101250813,sly00290,KEGG,Valine
LOC101251085,sly00270,KEGG,Cysteine and methionine metabolism
LOC101251379,sly00380,KEGG,Tryptophan metabolism
LOC101251709,sly00220,KEGG,Arginine biosynthesis
ICDH1,sly00020,KEGG,Citrate cycle (TCA cycle)
IPMS2,sly00290,KEGG,Valine
LOC101252029,sly00220,KEGG,Arginine biosynthesis
LOC101252796,sly00290,KEGG,Valine
LOC101252944,sly00290,KEGG,Valine
LOC101252977,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101253647,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101253875,sly00270,KEGG,Cysteine and methionine metabolism
LOC101254008,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101254112,sly00290,KEGG,Valine
LOC101254327,sly00280,KEGG,Valine
LOC101254378,sly00280,KEGG,Valine
LOC101254608,sly00270,KEGG,Cysteine and methionine metabolism
LOC101254693,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101255848,sly00020,KEGG,Citrate cycle (TCA cycle)
LOC101256355,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101256654,sly00010,KEGG,Glycolysis / Gluconeogenesis
LOC101257033,sly00010,KEGG,Glycolysis / Gluconeogenesis
